"LC-MS/MS(ITA), created by Plot Digitizer, 2.6.8"
"Date: 14.01.17, 12:17:24"


34
ITA,LC-MS/MS
4.66505,4.41244,
6.77868,6.90509,
8.39666,8.12096,
8.64417,8.88690,
9.45448,8.95275,
9.95323,8.95402,
9.07731,10.2273,
10.3837,11.3786,
10.4470,10.9961,
11.3831,10.6158,
11.6306,11.3818,
12.2534,11.6385,
12.9994,12.5332,
12.3783,11.5750,
12.5031,11.5116,
10.6913,13.1013,
10.9420,12.5280,
12.8100,13.4894,
13.2456,13.8094,
13.8686,14.0023,
14.4928,13.6850,
14.2416,14.4497,
13.5533,15.4683,
13.0560,14.8931,
12.8697,14.5737,
14.7994,15.7904,
15.6700,16.6855,
17.0410,16.9441,
16.3572,16.1133,
17.4171,16.1160,
16.6633,18.4100,
15.5412,18.4071,
15.0457,17.0665,
24.0034,25.1889,
