APO_AI_Isprot_HTG,APO_AI_Isprot_NTG,APO_B_Isprot_HTG,APO_B_Isprot_NTG,APO_AI_Ispep_HTG,APO_AI_Ispep_NTG
1.26697,1.90045,4.66505,2.92316,1.48028,1.7614
2.45475,1.97964,6.77868,5.65851,2.53562,6.19628
6.17647,6.96833,8.39666,6.2821,6.19827,6.69108
9.10633,7.91855,8.64417,6.47116,9.086,8.09924
10.4525,9.26471,9.07731,6.71571,9.9295,9.29485
11.1652,11.1652,9.45448,7.27447,10.2099,10.8441
11.2443,15.1244,9.95323,7.46213,10.49,12.7455
11.957,15.362,10.3837,7.65134,11.1971,13.8091
12.1154,16.4706,10.447,8.45994,12.112,13.8763
12.1946,17.2624,10.6913,8.52368,12.9602,14.3632
12.2738,17.5,10.942,9.70215,13.2403,15.4235
13.224,17.5792,11.3831,10.0753,13.9441,16.2706
13.224,17.8959,11.6306,10.1414,14.1531,16.6186
13.8575,18.2919,12.2534,10.3862,14.7176,17.5324
14.2534,19.9548,12.3783,11.0731,15.4208,17.5379
14.8077,20.7466,12.5031,11.6908,15.4961,17.7515
15.5204,21.3801,12.81,14.3066,16.3389,18.8057
15.5204,30.0905,12.8697,15.8552,17.9589,19.8597
16.233,32.4661,12.9994,20.2749,18.5225,20.5638
16.233,,13.056,,20.0021,21.341
17.8959,,13.2456,,,29.9382
18.4502,,13.5533,,,32.2629
20.0339,,13.8686,,,
,,14.2416,,,
,,14.4928,,,
,,14.7994,,,
,,15.0457,,,
,,15.5412,,,
,,15.67,,,
,,16.3572,,,
,,16.6633,,,
,,17.041,,,
,,17.4171,,,
,,24.0034,,,
